artist,album,release_date,listeners,playcount,tags,mbid,url,images
Iron Maiden,Iron Maiden,1980-04-14,8061618.0,137694736.0,"['heavy metal', 'albums I own', 'NWOBHM', 'metal', '1980']",25da813d-4dbd-32c0-aef0-307e790f0709,https://www.last.fm/music/Iron+Maiden/Iron+Maiden,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/72e43a38898e88c285a131f497ae7092.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/72e43a38898e88c285a131f497ae7092.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/72e43a38898e88c285a131f497ae7092.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/72e43a38898e88c285a131f497ae7092.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/72e43a38898e88c285a131f497ae7092.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/72e43a38898e88c285a131f497ae7092.png', 'size': ''}]"
Black Sabbath,Black Sabbath,1970-02-13,6272170.0,78871048.0,"['heavy metal', 'hard rock', 'albums I own', '1970', 'classic rock']",d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c,https://www.last.fm/music/Black+Sabbath/Black+Sabbath,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/5b5a5c59456df780346e124084b016f2.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/5b5a5c59456df780346e124084b016f2.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/5b5a5c59456df780346e124084b016f2.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/5b5a5c59456df780346e124084b016f2.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/5b5a5c59456df780346e124084b016f2.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/5b5a5c59456df780346e124084b016f2.png', 'size': ''}]"
Black Sabbath,Paranoid,1970-09-18,1937226.0,21612793.0,"['heavy metal', 'hard rock', 'albums I own', 'classic rock', '70s']",2982b682-36ea-3605-b959-04e746736070,https://www.last.fm/music/Black+Sabbath/Paranoid,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/e88b3980787c4714b79c3cab44986595.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/e88b3980787c4714b79c3cab44986595.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/e88b3980787c4714b79c3cab44986595.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e88b3980787c4714b79c3cab44986595.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e88b3980787c4714b79c3cab44986595.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e88b3980787c4714b79c3cab44986595.png', 'size': ''}]"
Iron Maiden,Seventh Son of a Seventh Son,1988-04-11,1296876.0,22218933.0,"['heavy metal', 'albums I own', 'metal', 'NWOBHM', '1988']",53a1a90f-cc58-39ea-9fc2-20dd103bda01,https://www.last.fm/music/Iron+Maiden/Seventh+Son+Of+A+Seventh+Son,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/520d2731f31bc923c14a7302e88e83ce.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/520d2731f31bc923c14a7302e88e83ce.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/520d2731f31bc923c14a7302e88e83ce.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/520d2731f31bc923c14a7302e88e83ce.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/520d2731f31bc923c14a7302e88e83ce.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/520d2731f31bc923c14a7302e88e83ce.png', 'size': ''}]"
Metallica,Master of Puppets,2003,1231869.0,25630035.0,"['thrash metal', 'albums I own', 'metal', 'heavy metal', 'favourite albums']",b30c90dd-83f1-4897-ae36-58fb3935e5ee,https://www.last.fm/music/Metallica/Master+of+Puppets,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/07f492a00c904cc6ccf868010be4d5a6.png', 'size': ''}]"
Metallica,Ride the Lightning,1984-07-30,1163802.0,23615062.0,"['thrash metal', 'albums I own', 'metal', 'heavy metal', '1984']",2236dd07-a2f3-466a-973d-9069001a89da,https://www.last.fm/music/Metallica/Ride+the+Lightning,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/bc25b0c3481cb9f283625453c3ca96ec.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/bc25b0c3481cb9f283625453c3ca96ec.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/bc25b0c3481cb9f283625453c3ca96ec.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/bc25b0c3481cb9f283625453c3ca96ec.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/bc25b0c3481cb9f283625453c3ca96ec.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/bc25b0c3481cb9f283625453c3ca96ec.png', 'size': ''}]"
Iron Maiden,The Number of the Beast,1982-04-26,1071172.0,15060263.0,"['heavy metal', 'albums I own', 'NWOBHM', 'metal', 'Iron Maiden']",6ea83f20-d053-3495-bc25-76aa61da13ab,https://www.last.fm/music/Iron+Maiden/The+Number+of+the+Beast,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/0b05ebbc6af93b2c88a5c9fa476974ca.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/0b05ebbc6af93b2c88a5c9fa476974ca.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/0b05ebbc6af93b2c88a5c9fa476974ca.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0b05ebbc6af93b2c88a5c9fa476974ca.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0b05ebbc6af93b2c88a5c9fa476974ca.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0b05ebbc6af93b2c88a5c9fa476974ca.png', 'size': ''}]"
Slayer,Reign in Blood,1986-10-07,1027288.0,18550929.0,"['thrash metal', 'albums I own', 'metal', 'speed metal', 'heavy metal']",e80dcb10-f532-4da1-9458-afd541e4a9ea,https://www.last.fm/music/Slayer/Reign+in+Blood,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/350cf157e4860e5ef0a9abf6cccef024.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/350cf157e4860e5ef0a9abf6cccef024.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/350cf157e4860e5ef0a9abf6cccef024.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/350cf157e4860e5ef0a9abf6cccef024.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/350cf157e4860e5ef0a9abf6cccef024.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/350cf157e4860e5ef0a9abf6cccef024.png', 'size': ''}]"
Metallica,...and Justice for All,1988,940837.0,17647971.0,"['thrash metal', 'albums I own', 'metal', 'heavy metal', 'metallica']",4dede30f-58cf-4d43-a857-b342ad7be945,https://www.last.fm/music/Metallica/...and+Justice+for+All,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/bd0914dacdcda8ba23d9fc2ccb5168bf.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/bd0914dacdcda8ba23d9fc2ccb5168bf.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/bd0914dacdcda8ba23d9fc2ccb5168bf.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/bd0914dacdcda8ba23d9fc2ccb5168bf.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/bd0914dacdcda8ba23d9fc2ccb5168bf.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/bd0914dacdcda8ba23d9fc2ccb5168bf.png', 'size': ''}]"
Megadeth,Rust in Peace,1990-09-21,767270.0,16163950.0,"['thrash metal', 'albums I own', 'speed metal', 'heavy metal', 'metal']",2b904e74-daba-397c-a151-bafb125ceb44,https://www.last.fm/music/Megadeth/Rust+In+Peace,"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/f44439fb07e7eb98071ac1e311e50ade.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/f44439fb07e7eb98071ac1e311e50ade.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/f44439fb07e7eb98071ac1e311e50ade.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/f44439fb07e7eb98071ac1e311e50ade.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/f44439fb07e7eb98071ac1e311e50ade.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/f44439fb07e7eb98071ac1e311e50ade.png', 'size': ''}]"
